Date,Henry_Street,IN,OUT
01/01/2015,19321,9520,9801
02/01/2015,48178,23862,24316
03/01/2015,35378,17613,17765
04/01/2015,29164,13832,15332
05/01/2015,42606,20317,22289
06/01/2015,42517,21070,21447
07/01/2015,35238,17140,18098
08/01/2015,43231,21414,21817
09/01/2015,38102,18502,19600
10/01/2015,38233,18993,19240
11/01/2015,27975,14009,13966
12/01/2015,35250,17447,17803
13/01/2015,35614,17776,17838
14/01/2015,38601,18721,19880
15/01/2015,35350,17310,18040
16/01/2015,43952,21568,22384
17/01/2015,43422,21321,22101
18/01/2015,29925,15900,14025
19/01/2015,40565,19509,21056
20/01/2015,38633,18230,20403
21/01/2015,41666,20695,20971
22/01/2015,49172,23662,25510
23/01/2015,44238,21798,22440
24/01/2015,45669,22315,23354
25/01/2015,31456,15384,16072
26/01/2015,40468,20299,20169
27/01/2015,40661,20201,20460
28/01/2015,34944,17854,17090
29/01/2015,37210,18882,18328
30/01/2015,46788,23028,23760
31/01/2015,42577,21366,21211
01/02/2015,31705,15723,15982
02/02/2015,40241,19826,20415
03/02/2015,42337,21058,21279
04/02/2015,42325,20911,21414
05/02/2015,46302,22667,23635
06/02/2015,46967,22314,24653
07/02/2015,44125,21658,22467
08/02/2015,28545,14528,14017
09/02/2015,38345,19325,19020
10/02/2015,39585,18979,20606
11/02/2015,40060,19442,20618
12/02/2015,47605,22629,24976
13/02/2015,40533,19725,20808
14/02/2015,45711,21012,24699
15/02/2015,31621,14869,16752
16/02/2015,43002,21215,21787
17/02/2015,45297,22213,23084
18/02/2015,46406,22957,23449
19/02/2015,44768,22724,22044
20/02/2015,47743,24369,23374
21/02/2015,44606,22095,22511
22/02/2015,25555,12758,12797
23/02/2015,34047,16410,17637
24/02/2015,39942,19712,20230
25/02/2015,40368,20190,20178
26/02/2015,43963,21881,22082
27/02/2015,48431,23293,25138
28/02/2015,44361,21191,23170
01/03/2015,23798,12229,11569
02/03/2015,39009,19061,19948
03/03/2015,41275,20381,20894
04/03/2015,45773,22155,23618
05/03/2015,48399,23836,24563
06/03/2015,45548,22086,23462
07/03/2015,47145,22083,25062
08/03/2015,31078,15566,15512
09/03/2015,40311,19055,21256
10/03/2015,42898,19691,23207
11/03/2015,40302,19618,20684
12/03/2015,38996,19504,19492
13/03/2015,50546,23754,26792
14/03/2015,45679,21112,24567
15/03/2015,30864,14741,16123
16/03/2015,46967,21707,25260
17/03/2015,38861,18987,19874
18/03/2015,45839,21109,24730
19/03/2015,45725,21078,24647
20/03/2015,44557,21862,22695
21/03/2015,46980,21401,25579
22/03/2015,35035,16674,18361
23/03/2015,41211,19875,21336
24/03/2015,40794,19708,21086
25/03/2015,42460,19762,22698
26/03/2015,46454,22478,23976
27/03/2015,50244,23134,27110
28/03/2015,43207,20452,22755
29/03/2015,28954,14572,14382
30/03/2015,41363,20162,21201
31/03/2015,40385,19736,20649
01/04/2015,44581,22319,22262
02/04/2015,40877,18717,22160
03/04/2015,42586,20909,21677
04/04/2015,47808,22874,24934
05/04/2015,16761,8146,8615
06/04/2015,48616,21841,26775
07/04/2015,49488,22178,27310
08/04/2015,47281,21501,25780
09/04/2015,51209,24147,27062
10/04/2015,48246,22551,25695
11/04/2015,44280,21647,22633
12/04/2015,26780,13770,13010
13/04/2015,43004,20224,22780
14/04/2015,44592,21894,22698
15/04/2015,41962,19554,22408
16/04/2015,48539,22315,26224
17/04/2015,49816,22581,27235
18/04/2015,47368,21659,25709
19/04/2015,32036,15018,17018
20/04/2015,41949,18469,23480
21/04/2015,46466,21126,25340
22/04/2015,45709,20717,24992
23/04/2015,47231,21642,25589
24/04/2015,48294,23219,25075
25/04/2015,34443,16499,17944
26/04/2015,34183,16898,17285
27/04/2015,41147,19701,21446
28/04/2015,41928,20026,21902
29/04/2015,42035,20427,21608
30/04/2015,48547,23266,25281
01/05/2015,37263,17958,19305
